0.949567,0.906195,0.947453,0.902935,0.978985,0.830733,1.09357
1.16222,1.12744,1.16989,1.11158,1.19683,1.07004,1.29866
0.541767,0.524353,0.548869,0.514384,0.563216,0.483489,0.627804
0.740857,0.722284,0.746663,0.707804,0.771555,0.670653,0.850291
0.556355,0.523304,0.570317,0.4951,0.635983
1.95644,1.85595,2.01078,1.75314,2.21616
1.95578,1.85668,2.01464,1.74937,2.22391
0.723417,0.684366,0.744873,0.647637,0.825038
0.869788,0.80721,0.878293,0.800396,0.998998
1.07914,1.02298,1.11278,0.967766,1.22774
1.09186,1.02874,1.12726,0.97251,1.25272
1.28737,1.22692,1.32448,1.16647,1.45238
0.767749,0.731876,0.787962,0.695926,0.867576
2.05338,1.95885,2.10697,1.85937,2.32039
0.939448,0.91352,0.941684,0.900902,0.962725,0.862416,1.06155
1.94493,1.85177,2.00432,1.75662,2.20535
1.01502,0.993269,1.02294,0.974312,1.05097,0.933927,1.14935
2.22298,2.06271,2.2641,1.97207,2.48673
1.22522,1.16619,1.26323,1.10424,1.39326
0.832315,0.800028,0.842796,0.782513,0.871298,0.731825,0.982381
